index,hatespeech,predicted_counterspeech,csType,relevance_score_a1,relevance_score_a2,relevance_score_a3,coherence_score_a1,coherence_score_a2,coherence_score_a3,aggressiveness_score_a1,aggressiveness_score_a2,aggressiveness_score_a3,suitableness_score_a1,suitableness_score_a2,suitableness_score_a3,suitableness_score,relevance_score,coherence_score,aggressiveness_score
19,Gays are just sick. It is an abomination,"Homosexuality is not an abominable form of sexual gratification, and promoting discrimination and hate speech towards any group is unacceptable. love and acceptance should prevail, not hate.",Denouncing,4.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.6666666666666667,3.0,2.6666666666666665,1.6666666666666667
20,"Jews are a virus, a cancer on our race.",Why do you think it is acceptable to discriminate against a group based on their sexual orientation?,Questioning,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
21,Feminism is just a bunch of death threats.,Is it fair to generalize and label an entire religious group based on the actions of a few extremists? can we foster understanding and respect instead?,Questioning,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,Islam is a totalitarian ideology that promotes death by stoning for blasphemy and slavery.,This is not true. the quran does not promote slavery or death by flogging for anyone.,Informative,4.0,2.0,3.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.6666666666666667,3.0,3.333333333333333,1.0
23,Mentally disabled folks have no understanding.,"This statement is offensive and promotes discrimination. every individual, regardless of their mental abilities, deserves respect and understanding.",Denouncing,5.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.6666666666666667,3.0,2.333333333333333,1.6666666666666667
24,Jews are making too much money.,"Actually, jews have made significant contributions to various fields throughout history. for instance, marie curie was a philanthropist, and jewish philanthropist in the united states during the civil war. additionally, jewish communities have played a vital role in various fields such as science, arts, and philanthropy. it is important to recognize and appreciate the diversity and richness that jewish individuals bring to society. promoting understanding and unity is crucial for fostering a harmonious and inclusive society.",Informative,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.6666666666666667,2.333333333333333,2.333333333333333,1.0
25,Islam is a death cult.,"I understand that you may have concerns about islam, but it's important to approach this topic with empathy and respect. islam is a diverse religion, and it's unfair to generalize and label it as a death- cult. instead, let's focus on building bridges and fostering understanding among different cultures and religions. by engaging in open and civil dialogue, we can learn from one another and create a more inclusive society. let's work together towards a world where everyone feels valued and respected.",Positive,5.0,5.0,5.0,5.0,2.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,2.6666666666666665,5.0,4.0,1.0
26,Feminism is just a crazy religion aimed at oppressing men.,Feminists are not trying to oppress men. they are trying to build a more inclusive society.,Informative,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,1.0
27,"Gypsies are basically criminals, they steal stuff from everyone.","I understand that you may have concerns about certain communities, but it's important to remember that generalizations can be misleading. stereotyping an entire group of people based on their ethnicity is unfair and can perpetuate harmful biases. instead, let's focus on building understanding and empathy. we can learn so much from each other's unique experiences and perspectives. by embracing diversity, we can create a more inclusive and harmonious society for everyone. let's work together to find common ground and promote unity.",Positive,5.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,3.0,3.333333333333333,1.0
28,"I just cant stand Arabs. They are just a trouble, in fact Israel expelled them.",Have you interacted with an arab before? how do you define'stranglehold' and how do we measure 'unity'?,Questioning,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.6666666666666667,1.3333333333333333,2.333333333333333
29,"Every Muslim is a potential terrorist, unfit to live in our country.",The vast majority of muslims are peaceful people who have helped our country thrive.,Informative,5.0,2.0,2.0,5.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,3.0,3.6666666666666665,1.0
30,Jews are addicted to their religion and take their religion literally.,"I understand that you may have concerns or misconceptions about jews, but it's important to approach this topic with empathy and understanding. stereotyping an entire group based on religion is unfair and can perpetuate harmful biases. instead, let's focus on promoting unity and respect for all individuals, regardless of their background. by engaging in open and respectful dialogue, we can learn from one another and build bridges of understanding. let's strive for a world where we can appreciate and appreciate the diversity that exists within our communities.",Positive,5.0,2.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,2.6666666666666665,4.0,4.333333333333333,1.0
31,Black people were here illegally. They cannot work and have the gall to want to take our money.,This statement is a harmful stereotype. it is important to recognize that individuals cannot be generalized based on race. we should promote inclusivity and equality for all.,Denouncing,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.6666666666666667,2.0,3.333333333333333,1.6666666666666667
32,Muslims have no place in civilised Europe,"We reject any form of discrimination or prejudice. muslims, like any other religious group, contribute to the diverse and vibrant european society.",Denouncing,4.0,2.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.333333333333333,3.6666666666666665,2.333333333333333
33,Muslims are not welcome in our country. They are not loyal citizens!,Muslims are welcome in the uk. they are not 'not welcome' in our society. they're not 'unwarranted' in any way shape or form.,Informative,3.0,3.0,3.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.6666666666666667,3.0,3.0,1.6666666666666667
34,Niggas are the cause of the economic crisis.,"Actually, the economic crises of the past were caused by the perpetuation of racial stereotypes and discrimination. in reality, the causes of economic crisis are complex and multifaceted, but it is important to acknowledge that these issues are caused by various factors, including economic trends and political instability. blaming an entire racial group for economic issues oversimplifies complex issues and fails to acknowledge the systemic factors contributing to the economic issues. let's work together to address these issues and foster a more inclusive society that benefits everyone.",Informative,5.0,2.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0
35,Islam is a Death cult and it should be banned from any country on the world.,Is it fair to generalize and make such a sweeping statement about an entire religious group? what evidence supports this claim?,Questioning,4.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.6666666666666667,2.6666666666666665,2.6666666666666665,1.3333333333333333
36,Muslims are a burden on English society.,Why do you believe that muslims are a problem? can you provide evidence to support your claim?,Questioning,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.6666666666666667,2.6666666666666665,3.0,2.6666666666666665
37,Immigration is the biggest problem in our country.,"I understand that immigration can be a complex issue, but it's important to approach it with empathy and understanding. immigration brings diverse perspectives, skills, and contributions that can contribute positively to our country's progress. instead of focusing on the size of the problem, let's work together to create a more inclusive and diverse society. by embracing empathy and building connections, we can build a stronger and more harmonious community for everyone. let's promote unity and unity instead of division.",Positive,2.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.3333333333333333,2.6666666666666665,2.333333333333333,1.0
38,"We should stop those LGBT people, they are just creating troubles.","I understand that you may have concerns about the lgbt community, but it's important to approach this topic with empathy and understanding. it's not fair to generalize or label an entire group of people based on the actions of a few individuals. we should strive for inclusivity and acceptance, where everyone can contribute positively to society. let's focus on building bridges and fostering a sense of unity instead of spreading hate. together, we can create a world where everyone feels valued and accepted.",Positive,5.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,4.0,3.6666666666666665,1.0
39,The Jews are a virus spreading through our culture.,What evidence supports the claim that all jews are inherently violent? can we generalize an entire group based on the actions of a few individuals?,Questioning,2.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.3333333333333333,3.0,2.333333333333333,1.3333333333333333
40,Jews are intolerant they insists that they are a peculiar people in need of a special treatment.,There are many different ways of life and many of them are not 'different' from jews.,Informative,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.6666666666666667,1.3333333333333333,2.333333333333333,1.0
41,"Islam is an ideology that promotes rape, torture and murder.",Islam is a diverse religion with followers from various backgrounds and should not be generalized based on the actions of a few individuals.,Denouncing,3.0,5.0,5.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.333333333333333,4.333333333333333,3.333333333333333,1.0
42,"Jews control Hollywood, they own most banks, and they own most corporations.","Actually, the claim that jews control hollywood and most banks is not supported by facts. the jewish community, like any other, has diverse interests, talents, and contributions to society. in fact, jewish individuals have made significant contributions in various fields, including finance, arts, and technology. it is important to recognize and respect the diversity within the jews' control of hollywood, as it contributes to a more inclusive and prosperous society.",Informative,3.0,5.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.6666666666666667,3.6666666666666665,2.6666666666666665,1.0
43,Immigrants are brought here to replace us. They not welcome in our country.,"Many immigrants are working hard to integrate in our society, and they are welcomed in many ways.",Informative,3.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.3333333333333333,3.6666666666666665,2.333333333333333,1.0
44,Women are subhuman and should not be valued.,Why do you think it is acceptable to force women to fight against men? can you provide evidence to support this claim?,Questioning,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.6666666666666667,2.333333333333333,2.333333333333333,1.6666666666666667
45,Muslims have no place in civilised Europe. They are incompatible with democracy.,"I understand that you may have concerns about muslims in europe, but it's important to remember that diversity enriches our society and promotes understanding. instead of focusing on differences, let's try to find common ground and build bridges of empathy and respect. by embracing different cultures and religions, we can create a harmonious europe where everyone feels valued and included. let's work together to promote unity and harmony in our diverse communities.",Positive,5.0,2.0,2.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,4.333333333333333,1.0
46,"Islam is not a peaceful religion, and we shouldnt have a Muslim in government the UK.","Islam is a religion, not a violent one. muslims are part of our society and have been an integral part of the uk for centuries. they have made significant contributions in various fields, including science, arts, and politics. islam promotes peace and harmony, not violent extremism. in fact, muslim-majority countries have higher levels of education, healthcare, and employment compared to the national average. it is important to recognize that islam is a diverse religion followed by millions of peaceful individuals worldwide. promoting understanding and unity is essential for building a harmonious society.",Informative,5.0,3.0,4.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,2.6666666666666665,4.0,4.333333333333333,1.0
47,Women are useful but should have no rights.,Women are human beings with full human rights.,Positive,5.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,2.6666666666666665,3.0,1.0
48,Gays are sick. They should be isolated.,"I understand that you may have strong opinions, but it's important to approach this topic with empathy and respect. every individual deserves to be treated with dignity and acceptance, regardless of their sexual orientation. instead of isolating or discriminating against any group, let's focus on building bridges of understanding and acceptance. by promoting empathy and compassion, we can create a more inclusive and harmonious society for everyone.",Positive,5.0,2.0,2.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,3.0,4.333333333333333,1.0
49,Muslims are a problem since a young age. They do not assimilate.,"It is unfair and inaccurate to make sweeping generalizations about any religious or ethnic group. muslims, like any other group, are diverse and should not be generalized based on stereotypes.",Denouncing,5.0,3.0,4.0,5.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,4.0,4.0,1.0
50,"I hate black people, I hate their violent behaviour, I hate their rape instict, and I hate their disrespect for women.","We denounce hate speech and generalizations. every individual deserves respect and equality, regardless of their race.",Denouncing,5.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,2.333333333333333,3.0,4.0,1.6666666666666667
51,Muslims are a problem in the UK. They are not welcome here. They are not like other religions.,"Muslims are not a problem, they are welcome here, and they are not as bad as other religions in other ways.",Informative,4.0,5.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,1.6666666666666667,4.666666666666667,2.6666666666666665,2.6666666666666665
52,Faggots are ruining this country. They must go away!,"It is essential to promote equality and respect for all individuals, regardless of their sexual orientation. discrimination and exclusion have no place in a just and inclusive society.",Denouncing,5.0,2.0,2.0,5.0,4.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,3.0,4.333333333333333,1.3333333333333333
53,Jews have a secret plot to take over the world,Why do you believe that jews are a problem? can you provide evidence to support your claim?,Questioning,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,2.333333333333333
54,Islam is incompatible with Western civilization.,"How can you say that about an entire religion? islam is a diverse faith with millions of followers worldwide, and is not incompatible with western civilization.",Questioning,5.0,5.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,4.666666666666667,4.333333333333333,2.333333333333333
55,Faggots are a disgrace to humanity.,"This statement is offensive and promotes discrimination. lgbtq+ individuals deserve respect and equality, just like anyone else.",Denouncing,5.0,2.0,1.0,5.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,2.333333333333333,2.6666666666666665,4.333333333333333,1.6666666666666667
56,"Islam is a violent religion, it is founded on hate and violence.","Islam is not violent, but it is unfair and inaccurate to label an entire religion based on the actions of a few individuals.",Denouncing,5.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,5.0,3.6666666666666665,1.3333333333333333
57,Sick migrants are bringing disease and misery to our country.,"I understand that you may have concerns about the impact of sick migrants on our country's quality of life. it's important to remember that everyone deserves to be treated with dignity and respect, regardless of their background. instead of focusing on our differences, let's try to find common ground and build bridges of understanding. by engaging in civil dialogue, we can work towards finding solutions that benefit everyone. together, we create a more inclusive and compassionate society.",Positive,3.0,5.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.333333333333333,4.333333333333333,3.333333333333333,1.0
58,"Migrants are not welcome here, they are not even Europeans.","Migrants have been welcomed here, and they are still welcome.",Informative,3.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.3333333333333333,3.333333333333333,2.333333333333333,1.0
59,"If a woman says she wants an abortion, shes a cunt.","Women have the right to make decisions about their own bodies, including abortion.",Denouncing,5.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,5.0,3.6666666666666665,1.3333333333333333
60,Jews working in finance to purposely keeping America down.,"It is important to address misconceptions. jews have made significant contributions to various fields, including finance. they have played a vital role in shaping the economy, selling drugs, and creating jobs. it is incorrect to generalize and stereotype an entire group based on the actions of a few individuals. jewish individuals have made notable contributions in various fields such as science, arts, and business. it's crucial to recognize that individuals should be judged based on their actions, not their religious background.",Informative,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.3333333333333333,2.0,2.333333333333333,1.3333333333333333
61,All these gay people are just a burden to our society.,"Actually, studies have consistently shown that lgbtq+ individuals contribute positively to society in various ways. they are doctors, artists, and entrepreneurs. in fact, a study by the national bureau of economic research found that lgbq+ people have a positive impact on job creation and innovation. additionally, numerous studies have shown that diversity and inclusion benefit society as a whole. it's important to recognize that sexual orientation is not a choice, but rather a natural aspect of human identity. embracing diversity and inclusivity benefits us all, fostering a stronger and more compassionate society.",Informative,5.0,2.0,2.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,3.0,4.333333333333333,1.0
62,"Women are subhuman, they should obey men and be submissive.",This statement is deeply offensive and promotes harmful gender stereotypes. women are equal members of society and should not be judged or demeaned based on their gender.,Denouncing,5.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.333333333333333,3.333333333333333,3.6666666666666665,2.333333333333333
63,"Not all Muslims are terrorists, but all terrorists are Muslims.","It is important to recognize that islam, like any other religion, promotes peace and condemns violence. generalizing an entire group based on the actions of a few is unfair and perpetuates stereotypes. islam promotes principles of compassion, justice, and unity. it is unfair to label an entire religion as terrorists based on a few extremist actions. let's foster understanding and dialogue instead of perpetuating harmful stereotypes.",Informative,3.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.3333333333333333,3.333333333333333,2.6666666666666665,1.0
64,"Women are basically childlike, ignorant, incapable of serious thought and emotion.",Women are not childlike or unable to think and emotions. they are just diverse individuals with unique strengths and abilities.,Informative,3.0,5.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.6666666666666667,4.333333333333333,2.6666666666666665,1.0
65,Muslims have no place in my country.,"Muslims have been an integral part of our country's history, and their presence is a testament to their worth and the contributions they have made. embracing diversity and inclusivity allows us to build a stronger and more harmonious society.",Positive,5.0,5.0,4.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,4.666666666666667,4.333333333333333,1.0
66,"The West has been attacked by immigrants, they are the real problem for our countries.","Actually, immigrants contribute significantly to our countries in various ways. according to a study by the cato institute, immigrants have a positive impact on economic growth, job creation, and innovation. additionally, research by the center for global understanding and empathy found that immigrants have been found to have a higher educational attainment rate compared to native-born citizens. it is important to base our opinions on facts rather than stereotypes. embracing diversity and promoting inclusivity strengthens our societies, fostering a stronger and more vibrant community for all.",Informative,5.0,3.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,2.6666666666666665,4.333333333333333,4.333333333333333,1.0
67,"We need to bring about world peace by respecting all religions, but Islam is the greatest offender.","I understand that you may have concerns about worldpeace, but it's important to approach this topic with empathy and respect. islam, like any other religion, promotes peace and harmony. instead of focusing on division, let's try to find common ground and build bridges between different faiths. by promoting understanding and dialogue, we can create a world where everyone feels valued and respected. let's strive for unity and harmony rather than division.",Positive,4.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.6666666666666667,3.0,2.333333333333333,1.0
68,Immigrants are stealing our jobs.,Why do you think it is acceptable to generalize an entire race based on the actions of a few individuals? can you provide evidence to support your claim?,Questioning,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.3333333333333333,2.333333333333333,1.6666666666666667,1.0
69,Immigrants are a security risk to our country.,"Immigrants have been an integral part of our country's history, bringing diverse skills, culture, and innovation. according to the united nations office on drugs and crime, immigrants contribute significantly to the economy by filling labor gaps, starting businesses, and paying taxes. furthermore, studies have shown that immigrants are more likely to start businesses compared to native-born citizens. it is important to recognize that immigrants bring new perspectives and enrich our society.",Informative,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.6666666666666667,2.333333333333333,2.333333333333333,1.0
70,"Islam is not a peaceful religion, all Muslims are violent people.","Islam is a religion that has always been part of our society, and is not violent.",Informative,4.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.6666666666666665,3.333333333333333,2.6666666666666665,1.0
71,Jews working in finance to purposely keeping America down.,Can you provide evidence that all jews are purposely keeping america down? is it fair to generalize an entire group based on the actions of a few?,Questioning,4.0,5.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.6666666666666667,4.666666666666667,2.333333333333333,1.3333333333333333
72,Mentally disabled folks are criminals.,"I understand that you may have some concerns, but it's important to remember that everyone deserves respect and understanding. it's not fair to label an entire group of people as criminals. in fact, many individuals with mental disabilities have unique abilities and contributions that enrich our communities. let's focus on promoting inclusivity and providing support to those in need. by fostering empathy and building connections, we can create a more compassionate and understanding society for everyone.",Positive,5.0,4.0,3.0,5.0,5.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,4.666666666666667,2.333333333333333
73,Physically disabled folks are also mentally disabled.,Can you provide evidence to support this claim that all jews are obsessed with power and wealth?,Questioning,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
74,Immigrants are a burden to society.,Why should someone's worth be determined by their immigration status? shouldn't everyone be entitled to equal opportunities and respect?,Questioning,1.0,5.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.6666666666666667,3.333333333333333,2.333333333333333,1.0
75,Women are subhuman and deserve to be treated as such.,Why do you think women are subhumans? can you provide any evidence or reasoning to support your claim?,Questioning,5.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,3.333333333333333,1.3333333333333333
